tweetid,text,emotions
614484565059596288,Dorian Gray with Rainbow Scarf #LoveWins (from @britishmuseum http://t.co/Q4XSwL0esu) http://t.co/h0evbTBWRq,3.0
614746522043973632,@SelectShowcase @Tate_StIves ... Replace with your wish which the artist uses in next installation! It was entralling!,3.0
614877582664835072,@Sofabsports thank you for following me back. Great to hear from a diverse &amp; interesting panel #DefeatingDepression @RAMMuseum,3.0
611932373039644672,@britishmuseum @TudorHistory What a beautiful jewel / portrait. Is the 'R' for Rex ?,3.0
611570404268883968,@NationalGallery @ThePoldarkian I have always loved this painting.,3.0
614499696015503360,Lucky @FitzMuseum_UK! Good luck @MirandaStearn &amp; see you soon :) @fitalbott @JoReilly00,3.0
613601881441570816,Yr 9 art students are off to the @britishmuseum today. Enjoy!,3.0
612648200588038144,@BarbyWT @britishmuseum so beautiful,3.0
614912375288893440,@britishmuseum awesome museum,3.0
610435728565239808,@nationalgallery #AskTheGallery Why do you pay your brilliant staff so poorly?,1.0
614074786801709056,@britishmuseum soo beautiful,3.0
611634648846876672,"@NationalGallery I do, I do, I do. :)",3.0
612736445820858368,@tateliverpool one of my favourite paintings! He was a great artist,3.0
614184660906704896,The Magna Carta exhibition @britishmuseum was quite extraordinary. Very imaginatively done. Even a bit of Tony Hancock in there!,3.0
612734845593219072,"Kudos, @FitzMuseum_UK, for a top-flight WC exhibition!",3.0
612168095252267008,@stiveshouse @MillenniumArt @Tate_StIves @Tremenheere ooh... Please let us know how it is!!!,3.0
615107089619394560,Enjoying the amazing collections @britishmuseum with the family http://t.co/nSbD7DwNM1,3.0
611239436739870720,@NationalGallery Beautiful painting.  Thank you.,3.0
612504789860118528,#definingbeauty @britishmuseum a truly breathtaking exhibition.fascinating on portrayals of women http://t.co/lyoR6HJEqL,3.0
614911271079661568,"@laiyaharvey thank you for the favourite, following you back, your mum @Andjustbeingme did a great job at #DefeatingDepression @RAMMuseum",3.0
612540027558580224,Treats for the end of June @HeatonsArtTrail followed by #JacksonPollock @tateliverpool *perfect summer*,3.0
611582675472777216,@tatteredstones @kettlesyard One of the best places in the country.,3.0
615216644550430720,@dr_shibley @britishmuseum Awwh - possum!,3.0
611947559444172800,"Wonderful experience, hearing Tim Knox’s #objects2015 keynote on contents &amp; decor of UK country houses in gallery 3 of @FitzMuseum_UK!",3.0
610834866435923968,Hooray! @MooseAllain wins Evolver Prize 2015! See it at @ThelmaHulbert from 4 July. http://t.co/GYKpsOb0W6,3.0
612261754882666496,Fabulous Enid Blyton exhibition @PlymouthMuseum. Great for kids of ALL ages! @LoveOurPast http://t.co/zmsvCN4aH5,3.0
610463913805774848,@7stories Enid Blyton exhib'n opens @PlymouthMuseum Wed 17 June! We've been helping set up http://t.co/OkrzbdXeVa http://t.co/9FDn5QZXbo,3.0
612264160311803904,KETTLE'S YARD: ANTIMUSEUM - meet the Archivist is buzzing! #CastleHill15 @kettlesyard #explorearchives http://t.co/c8UyiYMZpD,3.0
614460759154798592,A week writing reports about reports suddenly brightened by the thought of #DefiningBeauty at @britishmuseum tomorrow with @LittleMissMoo,3.0
612252317241446400,Samba time! @britishmuseum @camdentalking #DiscoveryDay http://t.co/SHi5OPmVsN,3.0
