section,subsection,experiment,role,macro_f1,weighted_f1,accuracy,train_sec
S4,Ablation Study,Light cleaning only,analysis,0.4465145067698259,0.9008594988438214,0.8909774436090225,3.5
S4,Ablation Study,No stopword removal,analysis,0.352984562847266,0.8626566258194928,0.8458646616541353,3.4
S4,Improvement Core,LR+Weight (rp=0.5),experiment,0.3453071113908118,0.8407616744819886,0.8045112781954887,3.7
S4,Ablation Study,Full best (clean + stopwords + TF-IDF + class weight),analysis,0.3453071113908118,0.8407616744819886,0.8045112781954887,3.1
S4,Ablation Study,No IDF,analysis,0.3453071113908118,0.8407616744819886,0.8045112781954887,3.1
S3,Representation Comparison Part B,BERT embedding (bert-base-uncased),experiment,0.34203816851474694,0.909173817095352,0.9323308270676691,5.8
S4,Improvement Core,LR+Weight (rp=0.05),experiment,0.3375025378540974,0.8437501648718035,0.8157894736842105,6.2
S4,Improvement Core,LR+Weight (rp=1.0),experiment,0.3348636682629657,0.8395816685661418,0.8007518796992481,3.2
S4,Improvement Core,CNB (S2 reference),reference,0.3332376767887485,0.8454813224224623,0.8157894736842105,1.0
S2,Model Comparison,Complement NaiveBayes,experiment,0.3332376767887485,0.8454813224224623,0.8157894736842105,1.0
S4,Improvement Core,LR+Weight (rp=0.1),experiment,0.3330922476967102,0.8421659338174764,0.8120300751879699,4.6
S4,Improvement Core,LR+Weight (rp=0.01),experiment,0.3313457556935817,0.8411619109886518,0.8120300751879699,8.0
S3,Representation Comparison Part B,GloVe (twitter-100d),experiment,0.33119769119769116,0.8886436871399277,0.9135338345864662,2.3
S2,Model Comparison,OneVsRest + LinearSVC,experiment,0.3142194955691888,0.8765625720743577,0.8909774436090225,129.7
S2,Model Comparison,Decision Tree (maxDepth=10),experiment,0.2946704067321178,0.8808645034746756,0.9097744360902256,2.9
S4,Ablation Study,No class weight,analysis,0.23670025779235998,0.8616643554045649,0.9022556390977443,4.1
S1,Baseline,TF-IDF unigram + LR,baseline,0.2337,0.859,0.8985,8.3
S3,Representation Comparison Part A,CountVectorizer (no IDF),experiment,0.233666001330672,0.8590488196539253,0.8984962406015038,6.2
S3,Representation Comparison Part A,"TF-IDF (1,2-gram)",experiment,0.233666001330672,0.8590488196539253,0.8984962406015038,13.1
S3,Representation Comparison Part A,TF-IDF (unigram),baseline-reference,0.233666001330672,0.8590488196539253,0.8984962406015038,9.5
S2,Model Comparison,"Logistic Regression (multinomial, regParam=0.1)",baseline-reference,0.233666001330672,0.8590488196539253,0.8984962406015038,8.3
S3,Representation Comparison Part A,Word2Vec (dim=100),experiment,0.1888888888888888,0.8450292397660818,0.8947368421052632,8.0
S2,Model Comparison,Random Forest (numTrees=100),experiment,0.1888888888888888,0.8450292397660818,0.8947368421052632,5.4
S4,Optional MLP + Word2Vec,MLP + Word2Vec (dim=100),optional,0.18846918489065606,0.843151616616093,0.8909774436090225,20.1
